"Date Begin","Date End",Opt-Top,Opt-Mid,Opt_Bot,IR-Top,IR-Mid,IR-Bot
2018-05-23,2018-09-12,SH,HSC-r2,HSC-g,HSC-Y,HSC-z,HSC-i2
2018-04-27,2018-05-23,HSC-g,HSC-r2,NB921,HSC-Y,HSC-z,HSC-i2
2018-04-04,2018-04-27,HSC-g,HSC-r2,NB816,HSC-Y,HSC-z,HSC-i2
2018-03-07,2018-04-04,HSC-g,HSC-r2,NB527,HSC-Y,HSC-z,HSC-i2
2018-01-31,2018-03-07,HSC-g,HSC-r2,NB1010,HSC-Y,HSC-z,HSC-i2
2018-01-04,2018-01-31,HSC-g,HSC-r2,NB387,HSC-Y,HSC-z,HSC-i2
2017-12-07,2018-01-04,SH,HSC-z,NB527,HSC-r2,HSC-g,HSC-i2
2017-09-07,2017-12-07,HSC-Y,HSC-r2,NB926,HSC-z,HSC-g,HSC-i2
2017-08-09,2017-09-07,HSC-Y,HSC-r2,NB816,HSC-z,HSC-g,HSC-i2
2017-07-14,2017-08-09,HSC-Y,HSC-r2,NB387,HSC-z,HSC-g,HSC-i2
2017-06-16,2017-07-14,NB816,HSC-r2,NB921,HSC-z,HSC-g,HSC-i2
2017-04-17,2017-06-16,HSC-Y,HSC-r2,NB921,HSC-z,HSC-g,HSC-i2
2017-02-16,2017-04-17,HSC-Y,HSC-r2,NB718,HSC-z,HSC-g,HSC-i2
2017-01-17,2017-02-16,NB973,HSC-r2,HSC-z,HSC-Y,HSC-g,HSC-i2
2016-12-20,2017-01-17,NB921,HSC-r2,HSC-Y,HSC-z,HSC-g,HSC-i2
2016-11-17,2016-12-20,SH,HSC-r2,HSC-Y,HSC-z,HSC-g,HSC-i2
2016-09-14,2016-11-17,HSC-i2,HSC-g,NB387,HSC-z,HSC-r2,HSC-Y
2016-08-16,2016-09-14,HSC-i2,HSC-r2,NB387,NB515,HSC-g,NB816
2016-07-26,2016-08-16,HSC-i2,NB0921,HSC-Y,HSC-z,HSC-g,HSC-r2
2016-06-24,2016-07-26,HSC-i2,HSC-r,HSC-Y,HSC-z,HSC-g,HSC-r2
2016-05-23,2016-06-24,HSC-i2,HSC-r,HSC-Y,HSC-z,HSC-g,NB468
2016-03-30,2016-05-23,HSC-i2,HSC-r,NB0921,NB0515,HSC-g,HSC-Y
2016-02-23,2016-03-30,SH,HSC-r,HSC-i2,HSC-z,HSC-g,HSC-Y
2016-02-02,2016-02-23,HSC-i2,HSC-r,HSC-Y,HSC-z,HSC-g,NB0816
2015-12-22,2016-02-02,HSC-i,HSC-r,HSC-Y,HSC-z,HSC-g,NB0921
2015-11-04,2015-12-22,HSC-i,HSC-r,HSC-i2,HSC-z,HSC-g,NB0921
2015-09-28,2015-11-04,HSC-i,HSC-r,HSC-Y,HSC-z,HSC-g,NB0515
2015-08-03,2015-09-28,HSC-i,HSC-r,HSC-Y,HSC-z,HSC-g,NB0816
2015-07-09,2015-08-03,HSC-i,HSC-r,HSC-Y,HSC-z,HSC-g,NB0921
2015-05-07,2015-07-09,HSC-i,HSC-r,HSC-Y,HSC-z,HSC-g,NB0515
2015-03-05,2015-05-07,HSC-i,HSC-r,HSC-Y,HSC-z,HSC-g,NB0921
2015-01-14,2015-03-05,HSC-i,HSC-r,HSC-Y,HSC-z,HSC-g,NB0656
2014-10-05,2015-01-14,SH,HSC-r,HSC-Y,HSC-z,HSC-g,HSC-i
2014-09-05,2014-10-05,HSC-i,HSC-r,HSC-Y,HSC-z,HSC-g,NB0515
2014-06-02,2014-09-05,HSC-Y,HSC-z,HSC-i,HSC-r,HSC-g,NB0656
2014-03-05,2014-06-02,HSC-i,SH,HSC-Y,HSC-r,HSC-z,HSC-g
